,percentile,age,survival_rate,death_rate
630,25-30%,0,1.0,0.0031419066028567366
631,25-30%,1,0.9968580933971433,0.0005497360424671083
632,25-30%,2,0.9963083573546762,0.00021248823442487907
633,25-30%,3,0.9960958691202513,0.00015738158293499005
634,25-30%,4,0.9959384875373163,0.00012254953433721294
635,25-30%,5,0.9958159380029791,0.00010337800825344079
636,25-30%,6,0.9957125599947256,9.542002246898384e-05
637,25-30%,7,0.9956171399722566,8.29462327822661e-05
638,25-30%,8,0.9955341937394744,7.429987617979528e-05
639,25-30%,9,0.9954598938632946,6.996776592982368e-05
640,25-30%,10,0.9953899260973648,6.996284811400244e-05
641,25-30%,11,0.9953199632492508,7.137117458855258e-05
642,25-30%,12,0.9952485920746622,7.654067977391765e-05
643,25-30%,13,0.9951720513948883,9.254966804017606e-05
644,25-30%,14,0.9950795017268481,0.00011764274522330087
645,25-30%,15,0.9949618589816248,0.00015103841640784488
646,25-30%,16,0.994810820565217,0.0001939077252770538
647,25-30%,17,0.9946169128399399,0.00026169703110301423
648,25-30%,18,0.9943552158088369,0.0003461680382339516
649,25-30%,19,0.994009047770603,0.0004269112401038555
650,25-30%,20,0.9935821365304991,0.0004816065135107017
651,25-30%,21,0.9931005300169884,0.0005052179379120281
652,25-30%,22,0.9925953120790764,0.000530259965768165
653,25-30%,23,0.9920650521133082,0.0005569515773568012
654,25-30%,24,0.9915081005359514,0.0005855437017845411
655,25-30%,25,0.9909225568341669,0.0006163240425589578
656,25-30%,26,0.9903062327916079,0.0006496229200561032
657,25-30%,27,0.9896566098715518,0.0006858203507754679
658,25-30%,28,0.9889707895207763,0.0007253542840853777
659,25-30%,29,0.988245435236691,0.0007687278684270771
660,25-30%,30,0.9874767073682639,0.0008165227272829423
661,25-30%,31,0.9866601846409809,0.0008694156139094078
662,25-30%,32,0.9857907690270715,0.0009281968528349616
663,25-30%,33,0.9848625721742366,0.0009937928724722545
664,25-30%,34,0.9838687793017643,0.0010672938384914676
665,25-30%,35,0.9828014854632728,0.0011499876444647228
666,25-30%,36,0.9816514978188081,0.0012433740122377301
667,25-30%,37,0.9804081238065704,0.0013488928238193365
668,25-30%,38,0.979059230982751,0.0014679708554915516
669,25-30%,39,0.9775912601272595,0.0016022019605275162
670,25-30%,40,0.975989058166732,0.0017533622886501954
671,25-30%,41,0.9742356958780818,0.0019234217457316793
672,25-30%,42,0.9723122741323501,0.0021145538739839598
673,25-30%,43,0.9701977202583661,0.0023291432219971764
674,25-30%,44,0.967868577036369,0.0025697719451549528
675,25-30%,45,0.965298805091214,0.0028389628236200615
676,25-30%,46,0.962459842267594,0.003139106241057621
677,25-30%,47,0.9593207360265363,0.0034725293425786896
678,25-30%,48,0.9558482066839576,0.00384140833672042
679,25-30%,49,0.9520067983472372,0.004247655870618483
680,25-30%,50,0.9477591424766187,0.004692786378867164
681,25-30%,51,0.9430663560977516,0.005177759810030325
682,25-30%,52,0.9378885962877213,0.005702808243304824
683,25-30%,53,0.9321857880444164,0.006267289808738252
